plate	cycle	well	tile
1	1	A1	10
1	1	A1	11
1	1	A1	12
1	1	A1	13
1	1	A1	14
1	1	A1	15
1	1	A1	16
1	1	A1	17
1	1	A1	18
1	1	A1	19
1	1	A1	100
1	1	A1	101
1	1	A1	102
1	1	A1	103
1	1	A1	104
1	1	A1	105
1	1	A1	106
1	1	A1	107
1	1	A1	108
1	1	A1	109
1	1	A1	110
1	1	A1	111
1	1	A1	112
1	1	A1	113
1	1	A1	114
1	1	A1	115
1	1	A1	116
1	1	A1	117
1	1	A1	118
1	1	A1	119
1	1	A1	120
1	1	A1	121
1	1	A1	122
1	1	A1	123
1	1	A1	124
1	1	A1	125
1	1	A1	126
1	1	A1	127
1	1	A1	128
1	1	A1	129
1	1	A1	130
1	1	A1	131
1	1	A1	132
1	1	A1	133
1	1	A1	134
1	1	A1	135
1	1	A1	136
1	1	A1	137
1	1	A1	138
1	1	A1	139
1	1	A1	320
1	1	A1	321
1	1	A1	322
1	1	A1	323
1	1	A1	324
1	1	A1	325
1	1	A1	326
1	1	A1	327
1	1	A1	328
1	1	A1	329
1	1	A2	10
1	1	A2	11
1	1	A2	12
1	1	A2	13
1	1	A2	14
1	1	A2	15
1	1	A2	16
1	1	A2	17
1	1	A2	18
1	1	A2	19
1	1	A2	100
1	1	A2	101
1	1	A2	102
1	1	A2	103
1	1	A2	104
1	1	A2	105
1	1	A2	106
1	1	A2	107
1	1	A2	108
1	1	A2	109
1	1	A2	110
1	1	A2	111
1	1	A2	112
1	1	A2	113
1	1	A2	114
1	1	A2	115
1	1	A2	116
1	1	A2	117
1	1	A2	118
1	1	A2	119
1	1	A2	120
1	1	A2	121
1	1	A2	122
1	1	A2	123
1	1	A2	124
1	1	A2	125
1	1	A2	126
1	1	A2	127
1	1	A2	128
1	1	A2	129
1	1	A2	130
1	1	A2	131
1	1	A2	132
1	1	A2	133
1	1	A2	134
1	1	A2	135
1	1	A2	136
1	1	A2	137
1	1	A2	138
1	1	A2	139
1	1	A2	320
1	1	A2	321
1	1	A2	322
1	1	A2	323
1	1	A2	324
1	1	A2	325
1	1	A2	326
1	1	A2	327
1	1	A2	328
1	1	A2	329
1	1	C2	10
1	1	C2	11
1	1	C2	12
1	1	C2	13
1	1	C2	14
1	1	C2	15
1	1	C2	16
1	1	C2	17
1	1	C2	18
1	1	C2	19
1	1	C2	100
1	1	C2	101
1	1	C2	102
1	1	C2	103
1	1	C2	104
1	1	C2	105
1	1	C2	106
1	1	C2	107
1	1	C2	108
1	1	C2	109
1	1	C2	110
1	1	C2	111
1	1	C2	112
1	1	C2	113
1	1	C2	114
1	1	C2	115
1	1	C2	116
1	1	C2	117
1	1	C2	118
1	1	C2	119
1	1	C2	120
